Entity,Definition
Column,"A column or pillar in architecture and structural engineering is a structural element that transmits, through compression, the weight of the structure above to other structural elements below."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Weep,"A weep, a weep hole, or a weep-brick is a small opening that allows water to drain from within an assembly."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Inflorescence,An inflorescence is a group or cluster of flowers arranged on a stem that is composed of a main branch or a complicated arrangement of branches.
Stipe (botany),"In botany, a stipe  is a stalk that supports some other structure."
Stipe,Stipe may refer to:
Classification system,Not found on Wikipedia
Plant stem,"A stem is one of two main structural axes of a vascular plant, the other being the root."
Plant structure,Not found on Wikipedia
relative,Relative may refer to:
Fruit,"In botany, a fruit is the seed-bearing structure in flowering plants that is formed from the ovary after flowering."
Ink,"Ink is a gel, sol, or solution that contains at least one colorant, such as a dye or pigment, and is used to color a surface to produce an image, text, or design."
Ink,"Ink is a gel, sol, or solution that contains at least one colorant, such as a dye or pigment, and is used to color a surface to produce an image, text, or design."
Glass,"Glass is a non-crystalline, often transparent, amorphous solid that has widespread practical, technological, and decorative use in, for example, window panes, tableware, and optics."
Network,"Network, networking and networked may refer to:"
Vine,"A vine (Latin vīnea ""grapevine"", ""vineyard"", from vīnum ""wine"") is any plant with a growth habit of trailing or scandent (that is, climbing) stems, lianas or runners."
South India,"South India, also known as Dakshina Bharata or Peninsular India, consists of the peninsular southern part of India."
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Midrib,Not found on Wikipedia
Venation,Venation may refer to:
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Writing,Writing is a cognitive activity involving neuropsychological and physical processes and the use of writing systems to structure and translate human thoughts into persistent representations of human language.
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Stipe (botany),"In botany, a stipe  is a stalk that supports some other structure."
Venation,Venation may refer to:
Polythene,Not found on Wikipedia
Day,A day is the time period of a full rotation of the Earth with respect to the Sun.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Polymer,"A polymer (; Greek poly-, ""many"" + -mer, ""part"")"
Geology,"Geology (from Ancient Greek  γῆ (gê) 'earth', and  λoγία (-logía) 'study of, discourse') is a branch of natural science concerned with Earth and other astronomical objects, the rocks of which it is composed, and the processes by which they change over time."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Book of Genesis,"The Book of Genesis (from Greek Γένεσις, Génesis; Hebrew: בְּרֵאשִׁית Bəreʾšīt, ""In [the] beginning"") is the first book of the Hebrew Bible and the Christian Old Testament."
Watercourse,Not found on Wikipedia
