entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Continuous motion,motion,Motion,change,subclass of,"It thus appears that an  object maintains its motion under the continuous application of an unbalanced force.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"However, it is quite incorrect.
"
Pushing force,force,Force,physical quantity,subclass of,"An object moves with a uniform velocity when the forces (pushing force and frictional force) acting on the object are balanced and there is no net external force on it.
"
Speed,physical quantity,Motion,change,calculated from,"If an unbalanced force is applied on the object, there will be a change either in its speed or in the direction of its motion.
"
Force,physical quantity,Acceleration,physical quantity,has effect,"Thus, to accelerate the motion of an object, an unbalanced force is required.
"
Speed,physical quantity,Direction of motion,motion,different from,"And the change in its speed (or in the direction of motion) would continue as long as this unbalanced force is applied.
"
X,natural number,Y,natural number,opposite of,"Two strings X and Y are tied to the two opposite faces of the block as shown.
"
Force,physical quantity,Force,physical quantity,calculated from,"If we apply a force by pulling the string X, the block begins to move to the right.
"
Force,physical quantity,Weight,physical quantity,opposite of,"But, if the block is pulled from both the sides with equal forces, the block will not move.
"
Force,physical quantity,Magnitude,physical quantity,opposite of,"Now, let us consider a situation in which two opposite forces of different magnitudes pull the block.
"
Force,physical quantity,Weight,physical quantity,opposite of,"In this case, the block would begin to move in the direction of the greater force.
"
Unbalanced force,force,Balanced force,force,opposite of,"Thus, the two forces are not balanced and the unbalanced force acts in the direction the block moves.
"
Force,physical quantity,Motion,change,has effect,"This suggests that an unbalanced force acting on an object brings it in motion.
"
Box,container,Wood,material,made from material,"Fig. 8.3: Two forces acting on a wooden block What happens when some children try to push a box on a rough floor?
"
Velocity,physical quantity,Velocity,physical quantity,calculated from,"If they push the (a) (b) (c) Fig. 8.4 Rationalised 2023-24  FORCE AND LAWS OF MOTION 89 removed completely, the object would continue to move with the velocity it has acquired till then.
"
Galileo Galilei,human,Galileo's laws of motion,physical law,notable work,"8.2 First Law of Motion By observing the motion of objects on an inclined plane Galileo deduced that objects move with a constant speed when no force acts on them.
"
Marble,metamorphic rock,Inclined plane,plane,has quality,"He observed that when a marble rolls down an inclined plane, its velocity increases [Fig. 8.5(a)].
"
Velocity,physical quantity,Force,physical quantity,calculated from,"In the next chapter, you will learn that the marble falls under the unbalanced force of gravity as it rolls down and attains a definite velocity by the time it reaches the bottom.
"
Velocity,physical quantity,Velocity,physical quantity,calculated from,"Its velocity decreases when it climbs up as shown in Fig. 8.5(b).
"
Galileo Galilei,human,Galileo Galilei,written work,notable work,"Galileo argued that when the marble is released from left, it would roll down the slope and go up on the opposite side to the same height from which it was released.
"
Rolling marble,marble,Marble,metamorphic rock,subclass of,"If the inclinations of the planes on both sides are equal then the marble will climb the same distance that it covered while rolling down.
"
Angle,geometric shape,Inclination,geometric shape,different from,"If the angle of inclination of the right-side plane were gradually decreased, then the marble would travel further distances till it reaches the original height.
"
Horizontal plane,plane,Vertical plane,plane,opposite of,"If the right-side plane were ultimately made horizontal (that is, the slope is reduced to zero), the marble would continue to travel forever trying to reach the same height that it was released from.
"
Force,physical quantity,Zero,even number,recommended unit of measurement,"The unbalanced forces on the marble in this case are zero.
"
Force,physical quantity,Net force,physical quantity,opposite of,"It thus suggests that an unbalanced (external) force is required to change the motion of the marble but no net force is needed to sustain the uniform motion of the marble.
"
Unbalanced force,force,Force,physical quantity,subclass of,"In practical situations it is difficult to achieve a zero unbalanced force.
"
Frictional force,force,Directional force,force,opposite of,"This is because of the presence of the frictional force acting opposite to the direction of motion.
"
Marble,metamorphic rock,Marble,metamorphic rock,made from material,"Thus, in practice the marble stops after travelling some distance.
"
Marble,metamorphic rock,Lubricant,mixture,use,"The effect of the frictional force may be minimised by using a smooth marble and a smooth plane and providing a lubricant on top of the planes.
"
Inclined plane,inclined plane,Inclined plane,plane,subclass of,"Fig. 8.5: (a) the downward motion; (b) the upward motion of a marble on an inclined plane; and (c) on a double inclined plane.
"
Galileo Galilei's laws of motion,physical law,Galileo Galilei,human,discoverer or inventor,"Newton further studied Galileo’s ideas on force and motion and presented three fundamental laws that govern the motion of objects.
"
Newton's laws of motion,physical law,Isaac Newton,human,named after,"These three laws are known as Newton’s laws of motion.
"
First law of motion,law of motion,Law of motion,physical law,instance of,"The first law of motion is stated as: An object remains in a state of rest or of uniform motion in a straight line unless compelled to change that state by an applied force.
"
Object,container,State of motion,physical property,has quality,"In other words, all objects resist a change in their state of motion.
"
Law of inertia,physical law,Law of motion,physical law,instance of,"This is why, the first law of motion is also known as the law of inertia.
"
Motor car,motor vehicle,Inertia,physical phenomenon,has quality,"Certain experiences that we come across while travelling in a motorcar can be explained on the basis of the law of inertia.
"
Braking,technique,Motor car,motor vehicle,facet of,"We tend to remain at rest with respect to the seat until the driver applies a braking force to stop the motorcar.
"
Inertia,physical phenomenon,Motion,change,opposite of,"With the application of brakes, the car slows down but our body tends to continue in the same state of motion because of its inertia.
"
Collision,accident,Injury,health problem,has effect,"A sudden application of brakes may thus cause injury to us by impact Rationalised 2023-24  SCIENCE 90 or collision with the panels in front.
"
Safety belt,belt,Safety device,device,subclass of,"Safety belts are worn to prevent such accidents.
"
Safety belt,belt,Force,physical quantity,has effect,"Safety belts exert a force on our body to make the forward motion slower.
"
Motion of a bus,motion,Bus,motor vehicle,facet of,"An opposite experience is encountered when we are standing in a bus and the bus begins to move suddenly.
"
Backward fall,fall,Forward fall,fall,opposite of,"Now we tend to fall backwards.
"
Bus floor,floor,Bus,motor vehicle,part of,"This is because the sudden start of the bus brings motion to the bus as well as to our feet in contact with the floor of the bus.
"
Inertia,nan,Motion,change,opposite of,"But the rest of our body opposes this motion because of its inertia.
"
Law of inertia,physical law,Logic,academic discipline,instance of,"This can again be explained on the basis of the law of inertia.
"
Continuous motion,motion,Motion,change,subclass of,"We tend to continue in our straight-line motion.
"
Inertia,physical quantity,Force,physical quantity,has effect,"When an unbalanced force is applied by the engine to change the direction of motion of the motorcar, we slip to one side of the seat due to the inertia of our body.
"
Carom coin,coin,Coin,archaeological artifact,subclass of,"The fact that a body will remain at rest unless acted upon by an unbalanced force can be illustrated through the following activities: Activity ______________ 8.1 • Make a pile of similar carom coins on a table, as shown in Fig. 8.6.
"
Carom striker,carom coin,Carom coin,sports equipment,subclass of,"• Attempt  a sharp horizontal hit at the bottom of the pile using another carom coin or the striker.
"
Top coin,coin,Bottom coin,coin,opposite of,"If the hit is strong enough, the bottom coin moves out quickly.
"
Galileo Galilei,human,Pisa,comune of Italy,place of birth,"Galileo Galilei was born on 15 February 1564 in Pisa, Italy.
"
